community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	L_lactis	L_plantarum	M_ac_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_ala__D_e	1.0	0.03	1	0.03
all	minimal	L_lactis	L_plantarum	M_ala__L_e	1.0	0.03	1	0.03
all	minimal	L_lactis	L_plantarum	M_cu2_e	1.0	1.0	1	1.0
all	minimal	L_lactis	L_plantarum	M_fe2_e	1.0	1.0	1	1.0
all	minimal	L_lactis	L_plantarum	M_gly_e	1.0	0.03	1	0.03
all	minimal	L_lactis	L_plantarum	M_glyc_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_h2o_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_h_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_ile__L_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_mal__L_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_murein5p5p_e	1.0	0.04	1	0.04
all	minimal	L_lactis	L_plantarum	M_nh4_e	1.0	0.03	1	0.03
all	minimal	L_lactis	L_plantarum	M_pi_e	1.0	0.1	1	0.1
all	minimal	L_lactis	L_plantarum	M_pnto__R_e	1.0	1.0	1	1.0
all	minimal	L_lactis	L_plantarum	M_pro__L_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_ser__D_e	1.0	0.03	1	0.03
all	minimal	L_lactis	L_plantarum	M_ser__L_e	1.0	0.03	1	0.03
all	minimal	L_lactis	L_plantarum	M_uaagmda_e	1.0	0.79	1	0.79
all	minimal	L_lactis	L_plantarum	M_udcpdp_e	1.0	0.08	1	0.08
all	minimal	L_lactis	L_plantarum	M_val__L_e	1.0	1.0	1	1.0
all	minimal	L_plantarum	L_lactis	M_cys__L_e	1.0	0.61	1	0.61
all	minimal	L_plantarum	L_lactis	M_glc__D_e	1.0	0.28	1	0.28
all	minimal	L_plantarum	L_lactis	M_h2s_e	1.0	0.39	1	0.39
all	minimal	L_plantarum	L_lactis	M_malt_e	1.0	0.5	1	0.5
all	minimal	L_plantarum	L_lactis	M_rib__D_e	1.0	0.22	1	0.22
