community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	L_lactis_fbc	iMM904	M_acald_e	1.0	0.02	1	0.02
all	minimal	L_lactis_fbc	iMM904	M_ala__L_e	1.0	0.03	1	0.03
all	minimal	L_lactis_fbc	iMM904	M_arg__L_e	1.0	0.05	1	0.05
all	minimal	L_lactis_fbc	iMM904	M_fum_e	1.0	0.02	1	0.02
all	minimal	L_lactis_fbc	iMM904	M_glu__L_e	1.0	0.02	1	0.02
all	minimal	L_lactis_fbc	iMM904	M_gly_e	1.0	0.02	1	0.02
all	minimal	L_lactis_fbc	iMM904	M_glyc_e	1.0	0.45	1	0.45
all	minimal	L_lactis_fbc	iMM904	M_h_e	1.0	0.01	1	0.01
all	minimal	L_lactis_fbc	iMM904	M_hxan_e	1.0	0.01	1	0.01
all	minimal	L_lactis_fbc	iMM904	M_ile__L_e	1.0	0.02	1	0.02
all	minimal	L_lactis_fbc	iMM904	M_lac__L_e	1.0	0.01	1	0.01
all	minimal	L_lactis_fbc	iMM904	M_lys__L_e	1.0	0.02	1	0.02
all	minimal	L_lactis_fbc	iMM904	M_mal__L_e	1.0	0.03	1	0.03
all	minimal	L_lactis_fbc	iMM904	M_orn_e	1.0	0.05	1	0.05
all	minimal	L_lactis_fbc	iMM904	M_pi_e	1.0	1.0	1	1.0
all	minimal	L_lactis_fbc	iMM904	M_pnto__R_e	1.0	1.0	1	1.0
all	minimal	L_lactis_fbc	iMM904	M_pyr_e	1.0	0.02	1	0.02
all	minimal	L_lactis_fbc	iMM904	M_sbt__D_e	1.0	0.54	1	0.54
all	minimal	L_lactis_fbc	iMM904	M_ser__L_e	1.0	0.89	1	0.89
all	minimal	L_lactis_fbc	iMM904	M_thm_e	1.0	1.0	1	1.0
all	minimal	L_lactis_fbc	iMM904	M_val__L_e	1.0	1.0	1	1.0
all	minimal	L_lactis_fbc	iMM904	M_xan_e	1.0	0.01	1	0.01
