community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	L_lactis	Ecoli_K12_MG1655	M_acald_e	1.0	0.02	1	0.02
all	minimal	L_lactis	Ecoli_K12_MG1655	M_ade_e	1.0	0.02	1	0.02
all	minimal	L_lactis	Ecoli_K12_MG1655	M_ala__D_e	1.0	0.04	1	0.04
all	minimal	L_lactis	Ecoli_K12_MG1655	M_ala__L_e	1.0	0.03	1	0.03
all	minimal	L_lactis	Ecoli_K12_MG1655	M_arg__L_e	1.0	0.08	1	0.08
all	minimal	L_lactis	Ecoli_K12_MG1655	M_cgly_e	1.0	0.08	1	0.08
all	minimal	L_lactis	Ecoli_K12_MG1655	M_fe2_e	1.0	1.0	1	1.0
all	minimal	L_lactis	Ecoli_K12_MG1655	M_fum_e	1.0	0.02	1	0.02
all	minimal	L_lactis	Ecoli_K12_MG1655	M_glu__L_e	1.0	0.09	1	0.09
all	minimal	L_lactis	Ecoli_K12_MG1655	M_gly_e	1.0	0.02	1	0.02
all	minimal	L_lactis	Ecoli_K12_MG1655	M_glyald_e	1.0	0.89	1	0.89
all	minimal	L_lactis	Ecoli_K12_MG1655	M_glyc3p_e	1.0	0.26	1	0.26
all	minimal	L_lactis	Ecoli_K12_MG1655	M_glyc_e	1.0	0.13	1	0.13
all	minimal	L_lactis	Ecoli_K12_MG1655	M_ile__L_e	1.0	0.07	1	0.07
all	minimal	L_lactis	Ecoli_K12_MG1655	M_lys__L_e	1.0	0.04	1	0.04
all	minimal	L_lactis	Ecoli_K12_MG1655	M_no2_e	1.0	0.04	1	0.04
all	minimal	L_lactis	Ecoli_K12_MG1655	M_orn_e	1.0	0.02	1	0.02
all	minimal	L_lactis	Ecoli_K12_MG1655	M_pi_e	1.0	0.14	1	0.14
all	minimal	L_lactis	Ecoli_K12_MG1655	M_pnto__R_e	1.0	1.0	1	1.0
all	minimal	L_lactis	Ecoli_K12_MG1655	M_pro__L_e	1.0	0.02	1	0.02
all	minimal	L_lactis	Ecoli_K12_MG1655	M_ser__D_e	1.0	0.1	1	0.1
all	minimal	L_lactis	Ecoli_K12_MG1655	M_ser__L_e	1.0	0.12	1	0.12
all	minimal	L_lactis	Ecoli_K12_MG1655	M_uaagmda_e	1.0	0.47	1	0.47
all	minimal	L_lactis	Ecoli_K12_MG1655	M_val__L_e	1.0	1.0	1	1.0
all	minimal	L_plantarum	L_lactis	M_cys__L_e	1.0	0.27	1	0.27
all	minimal	L_plantarum	L_lactis	M_h2s_e	1.0	0.01	1	0.01
all	minimal	L_plantarum	L_lactis	M_pi_e	1.0	0.08	1	0.08
all	minimal	L_plantarum	L_lactis	M_udcpdp_e	1.0	0.29	1	0.29
all	minimal	L_plantarum	Ecoli_K12_MG1655	M_akg_e	1.0	0.53	1	0.53
all	minimal	L_plantarum	Ecoli_K12_MG1655	M_cgly_e	1.0	0.72	1	0.72
all	minimal	L_plantarum	Ecoli_K12_MG1655	M_cys__L_e	1.0	0.27	1	0.27
all	minimal	L_plantarum	Ecoli_K12_MG1655	M_glu__L_e	1.0	0.47	1	0.47
all	minimal	L_plantarum	Ecoli_K12_MG1655	M_glyc3p_e	1.0	0.6	1	0.6
all	minimal	L_plantarum	Ecoli_K12_MG1655	M_h2s_e	1.0	0.01	1	0.01
all	minimal	L_plantarum	Ecoli_K12_MG1655	M_leu__L_e	1.0	1.0	1	1.0
all	minimal	L_plantarum	Ecoli_K12_MG1655	M_pi_e	1.0	0.08	1	0.08
all	minimal	L_plantarum	Ecoli_K12_MG1655	M_uaagmda_e	1.0	0.03	1	0.03
