community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	L_lactis	L_plantarum	M_acald_e	0.5	0.02	1	0.01
all	minimal	L_lactis	L_plantarum	M_ala__D_e	0.5	0.03	1	0.015
all	minimal	L_lactis	L_plantarum	M_ala__L_e	0.5	0.04	1	0.02
all	minimal	L_lactis	L_plantarum	M_arab__L_e	0.5	0.01	1	0.005
all	minimal	L_lactis	L_plantarum	M_cu2_e	0.5	1.0	1	0.5
all	minimal	L_lactis	L_plantarum	M_fe2_e	0.5	1.0	1	0.5
all	minimal	L_lactis	L_plantarum	M_fol_e	0.5	0.03	1	0.015
all	minimal	L_lactis	L_plantarum	M_fum_e	0.5	0.01	1	0.005
all	minimal	L_lactis	L_plantarum	M_glu__L_e	0.5	0.05	1	0.025
all	minimal	L_lactis	L_plantarum	M_gly_e	0.5	0.02	1	0.01
all	minimal	L_lactis	L_plantarum	M_glyc_e	0.5	0.07	1	0.035
all	minimal	L_lactis	L_plantarum	M_h2o_e	0.5	0.01	1	0.005
all	minimal	L_lactis	L_plantarum	M_ile__L_e	0.5	0.02	1	0.01
all	minimal	L_lactis	L_plantarum	M_mal__L_e	0.5	0.01	1	0.005
all	minimal	L_lactis	L_plantarum	M_murein5p4p_e	0.5	0.01	1	0.005
all	minimal	L_lactis	L_plantarum	M_murein5p5p5p_e	0.5	0.05	1	0.025
all	minimal	L_lactis	L_plantarum	M_murein5p5p_e	0.5	0.03	1	0.015
all	minimal	L_lactis	L_plantarum	M_murein5px4p_e	0.5	0.01	1	0.005
all	minimal	L_lactis	L_plantarum	M_murein5px4px4p_e	0.5	0.01	1	0.005
all	minimal	L_lactis	L_plantarum	M_nh4_e	0.5	0.05	1	0.025
all	minimal	L_lactis	L_plantarum	M_pi_e	0.5	0.11	1	0.055
all	minimal	L_lactis	L_plantarum	M_pnto__R_e	0.5	1.0	1	0.5
all	minimal	L_lactis	L_plantarum	M_pro__L_e	0.5	0.01	1	0.005
all	minimal	L_lactis	L_plantarum	M_ser__D_e	0.5	0.04	1	0.02
all	minimal	L_lactis	L_plantarum	M_ser__L_e	0.5	0.06	1	0.03
all	minimal	L_lactis	L_plantarum	M_udcpdp_e	0.5	0.06	1	0.03
all	minimal	L_lactis	L_plantarum	M_val__L_e	0.5	1.0	1	0.5
all	minimal	L_lactis	L_plantarum	M_xan_e	0.5	0.01	1	0.005
all	minimal	L_lactis	E_coli_IAI1	M_acald_e	0.5	0.02	1	0.01
all	minimal	L_lactis	E_coli_IAI1	M_ade_e	0.5	0.03	1	0.015
all	minimal	L_lactis	E_coli_IAI1	M_ala__D_e	0.5	0.03	1	0.015
all	minimal	L_lactis	E_coli_IAI1	M_ala__L_e	0.5	0.04	1	0.02
all	minimal	L_lactis	E_coli_IAI1	M_arg__L_e	0.5	0.05	1	0.025
all	minimal	L_lactis	E_coli_IAI1	M_cgly_e	0.5	0.02	1	0.01
all	minimal	L_lactis	E_coli_IAI1	M_cu2_e	0.5	1.0	1	0.5
all	minimal	L_lactis	E_coli_IAI1	M_fe2_e	0.5	1.0	1	0.5
all	minimal	L_lactis	E_coli_IAI1	M_fum_e	0.5	0.01	1	0.005
all	minimal	L_lactis	E_coli_IAI1	M_glcn_e	0.5	0.01	1	0.005
all	minimal	L_lactis	E_coli_IAI1	M_glu__L_e	0.5	0.05	1	0.025
all	minimal	L_lactis	E_coli_IAI1	M_gly_e	0.5	0.02	1	0.01
all	minimal	L_lactis	E_coli_IAI1	M_glyald_e	0.5	0.35	1	0.175
all	minimal	L_lactis	E_coli_IAI1	M_glyc_e	0.5	0.07	1	0.035
all	minimal	L_lactis	E_coli_IAI1	M_h2o_e	0.5	0.01	1	0.005
all	minimal	L_lactis	E_coli_IAI1	M_ile__L_e	0.5	0.02	1	0.01
all	minimal	L_lactis	E_coli_IAI1	M_nh4_e	0.5	0.05	1	0.025
all	minimal	L_lactis	E_coli_IAI1	M_orn_e	0.5	0.03	1	0.015
all	minimal	L_lactis	E_coli_IAI1	M_pnto__R_e	0.5	1.0	1	0.5
all	minimal	L_lactis	E_coli_IAI1	M_pro__L_e	0.5	0.01	1	0.005
all	minimal	L_lactis	E_coli_IAI1	M_rib__D_e	0.5	0.01	1	0.005
all	minimal	L_lactis	E_coli_IAI1	M_ser__D_e	0.5	0.04	1	0.02
all	minimal	L_lactis	E_coli_IAI1	M_ser__L_e	0.5	0.06	1	0.03
all	minimal	L_lactis	E_coli_IAI1	M_val__L_e	0.5	1.0	1	0.5
all	minimal	L_plantarum	E_coli_IAI1	M_akg_e	1.0	0.23	1	0.23
all	minimal	L_plantarum	E_coli_IAI1	M_cgly_e	1.0	0.6	1	0.6
all	minimal	L_plantarum	E_coli_IAI1	M_cys__L_e	1.0	0.17	1	0.17
all	minimal	L_plantarum	E_coli_IAI1	M_fe2_e	1.0	0.56	1	0.56
all	minimal	L_plantarum	E_coli_IAI1	M_glcn_e	1.0	0.39	1	0.39
all	minimal	L_plantarum	E_coli_IAI1	M_glu__L_e	1.0	0.77	1	0.77
all	minimal	L_plantarum	E_coli_IAI1	M_h2s_e	1.0	0.23	1	0.23
all	minimal	L_plantarum	E_coli_IAI1	M_leu__L_e	1.0	1.0	1	1.0
all	minimal	L_plantarum	E_coli_IAI1	M_rib__D_e	1.0	0.24	1	0.24
all	minimal	E_coli_IAI1	L_lactis	M_LalaDgluMdap_e	0.5	0.03	1	0.015
all	minimal	E_coli_IAI1	L_lactis	M_ala__L_e	0.5	0.03	1	0.015
all	minimal	E_coli_IAI1	L_lactis	M_alaala_e	0.5	0.02	1	0.01
all	minimal	E_coli_IAI1	L_lactis	M_anhgm_e	0.5	0.53	1	0.265
all	minimal	E_coli_IAI1	L_lactis	M_cys__L_e	0.5	0.02	1	0.01
all	minimal	E_coli_IAI1	L_lactis	M_gly_e	0.5	0.19	1	0.095
all	minimal	E_coli_IAI1	L_lactis	M_malt_e	0.5	0.13	1	0.065
all	minimal	E_coli_IAI1	L_lactis	M_pi_e	0.5	1.0	1	0.5
all	minimal	E_coli_IAI1	L_plantarum	M_LalaDgluMdapDala_e	0.5	0.18	1	0.09
all	minimal	E_coli_IAI1	L_plantarum	M_LalaDgluMdap_e	0.5	0.03	1	0.015
all	minimal	E_coli_IAI1	L_plantarum	M_ala__L_e	0.5	0.03	1	0.015
all	minimal	E_coli_IAI1	L_plantarum	M_alaala_e	0.5	0.02	1	0.01
all	minimal	E_coli_IAI1	L_plantarum	M_anhgm_e	0.5	0.53	1	0.265
all	minimal	E_coli_IAI1	L_plantarum	M_cu2_e	0.5	0.33	1	0.165
all	minimal	E_coli_IAI1	L_plantarum	M_fe2_e	0.5	0.61	1	0.305
all	minimal	E_coli_IAI1	L_plantarum	M_gly_e	0.5	0.19	1	0.095
all	minimal	E_coli_IAI1	L_plantarum	M_pi_e	0.5	1.0	1	0.5
