community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	L_lactis	L_plantarum	M_12ppd__S_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_14glucan_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_23camp_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_23ccmp_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_23cgmp_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_23cump_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_26dap__M_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_2hxmp_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_2pglyc_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_3hcinnm_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_3hpppn_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_3oxoadp_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_4abut_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_4abz_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_4hphac_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_5mtr_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_LalaDgluMdapDala_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_LalaDgluMdap_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_abt__L_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_ac_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_acald_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_acmum_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_acnam_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_actn__R_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_ade_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_adn_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_akg_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_ala_B_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_ala__D_e	1.0	0.02	1	0.02
all	minimal	L_lactis	L_plantarum	M_ala__L_e	1.0	0.03	1	0.03
all	minimal	L_lactis	L_plantarum	M_alaala_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_amylose300_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_anhgm_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_arab__D_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_arab__L_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_arbt_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_arg__L_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_but_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_bz_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_bzalc_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_ca2_e	1.0	1.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_cellb_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_cgly_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_chol_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_chols_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_cit_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_cl_e	1.0	1.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_co2_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_coa_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_cobalt2_e	1.0	1.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_crn_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_csn_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_cu2_e	1.0	1.0	1	1.0
all	minimal	L_lactis	L_plantarum	M_cys__L_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_cytd_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_dextrin_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_dha_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_diact_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_drib_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_enter_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_etha_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_eths_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_fe2_e	1.0	1.0	1	1.0
all	minimal	L_lactis	L_plantarum	M_fe3_e	1.0	1.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_feenter_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_fol_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_for_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_fru_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_fum_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_g3pe_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_gal_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_galt_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_gam_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_glc__D_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_glcn__D_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_glcn_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_glcur_e	1.0	0.0	0	0.0
