time,lactis_OD600,lactis_dcw,lactis_yeast_dcw,lactis_yeast_OD600,org_2,yeast_dcw,yeast_ser_mm,yeast_ala_mm,yeast_glu_mm,yeast_gly_mm,lactis_dcw_per_od,yeast_dcw_per_od
0,0.01,0.0039,0.0039,0.01,0.001,0.062,,,,,0.39,0.62
3,0.015014607,0.005855697,0.004385574,0.011245062,0.002943063,,,,,,0.39,0.62
6,0.012563191,0.004899644,0.007317317,0.01876235,0.002940316,,,,,,0.39,0.62
9,0.019675461,0.00767343,0.010254477,0.026293532,0.004159482,,,,,,0.39,0.62
10,,,,,,0.124,,,,,0.39,0.62
11,,,,,,,,,,,0.39,0.62
12,0.020542844,0.008011709,0.023059179,0.059126101,0.010406625,0.31,,,,,0.39,0.62
13,,,,,,,,,,,0.39,0.62
14,,,,,,0.589,0.02,0.075,0.05,0.023,0.39,0.62
15,0.019088753,0.007444614,0.04480585,0.114886796,0.026333343,,,,,,0.39,0.62
16,,,,,,1.178,,,,,0.39,0.62
17,,,,,,1.488,,,,,0.39,0.62
18,0.028762796,0.01121749,0.056658416,0.14527799,0.043152277,,,,,,0.39,0.62
19,,,,,,1.5748,,,,,0.39,0.62
20,,,,,,1.581,,,,,0.39,0.62
21,0.037227595,0.014518762,0.092124418,0.236216456,0.064632588,,,,,,0.39,0.62
22,,,,,,1.581,,,,,0.39,0.62
23,,,,,,,,,,,0.39,0.62
24,0.031855961,0.012423825,0.109820974,0.28159224,0.081251897,,,,,,0.39,0.62
