,rep,species,medium,OD,time,fold_change
0,0,A_odontolyticus,M1,0.1,8,0.0
1,0,A_odontolyticus,M1,0.1,12,0.0
2,0,A_odontolyticus,M1,0.1,18,0.0
3,0,A_odontolyticus,M1,0.1,24,0.0
4,0,A_odontolyticus,M1,0.1,48,0.0
5,1,A_odontolyticus,M1,0.1,8,0.0
6,1,A_odontolyticus,M1,0.1,12,0.0
7,1,A_odontolyticus,M1,0.1,18,0.0
8,1,A_odontolyticus,M1,0.1,24,0.0
9,1,A_odontolyticus,M1,0.1,48,0.0
10,0,A_odontolyticus,M2,,8,
11,0,A_odontolyticus,M2,,12,
12,0,A_odontolyticus,M2,,18,
13,0,A_odontolyticus,M2,,24,
14,0,A_odontolyticus,M2,,48,
15,1,A_odontolyticus,M2,0.15092159311252157,8,0.5092159311252156
16,1,A_odontolyticus,M2,0.21021931182858317,12,1.1021931182858316
17,1,A_odontolyticus,M2,0.4044887619043057,18,3.0448876190430574
18,1,A_odontolyticus,M2,0.7143230406818787,24,6.143230406818787
19,1,A_odontolyticus,M2,1.1375000000000002,48,10.375
20,0,A_odontolyticus,M3,0.1540861146940809,8,0.5408611469408089
21,0,A_odontolyticus,M3,0.2153446469729679,12,1.153446469729679
22,0,A_odontolyticus,M3,0.42517974241077827,18,3.251797424107783
23,0,A_odontolyticus,M3,0.818405208263092,24,7.18405208263092
24,0,A_odontolyticus,M3,1.598,48,14.979999999999999
25,1,A_odontolyticus,M3,,8,
26,1,A_odontolyticus,M3,,12,
27,1,A_odontolyticus,M3,,18,
28,1,A_odontolyticus,M3,,24,
29,1,A_odontolyticus,M3,,48,
30,0,A_odontolyticus,M4,0.16020491734000805,8,0.6020491734000805
31,0,A_odontolyticus,M4,0.24051532299408576,12,1.4051532299408576
32,0,A_odontolyticus,M4,0.5164388235320295,18,4.1643882353202955
33,0,A_odontolyticus,M4,0.924763848321437,24,8.24763848321437
34,0,A_odontolyticus,M4,1.332,48,12.319999999999999
35,1,A_odontolyticus,M4,,8,
36,1,A_odontolyticus,M4,,12,
37,1,A_odontolyticus,M4,,18,
38,1,A_odontolyticus,M4,,24,
39,1,A_odontolyticus,M4,,48,
40,0,A_odontolyticus,M5,0.18632633122170522,8,0.8632633122170521
41,0,A_odontolyticus,M5,0.3195591665660669,12,2.195591665660669
42,0,A_odontolyticus,M5,0.7856646729260176,18,6.856646729260176
43,0,A_odontolyticus,M5,1.3646304175983404,24,12.646304175983403
44,0,A_odontolyticus,M5,1.747,48,16.47
45,1,A_odontolyticus,M5,,8,
46,1,A_odontolyticus,M5,,12,
47,1,A_odontolyticus,M5,,18,
48,1,A_odontolyticus,M5,,24,
49,1,A_odontolyticus,M5,,48,
50,0,A_odontolyticus,M7,0.14913257832946633,8,0.49132578329466325
51,0,A_odontolyticus,M7,0.20563734082279744,12,1.0563734082279743
52,0,A_odontolyticus,M7,0.39944490425249957,18,2.994449042524996
53,0,A_odontolyticus,M7,0.7557752562650503,24,6.557752562650503
54,0,A_odontolyticus,M7,1.4135,48,13.134999999999998
55,1,A_odontolyticus,M7,0.20528617052437234,8,1.0528617052437232
56,1,A_odontolyticus,M7,0.36713738356287584,12,2.6713738356287586
57,1,A_odontolyticus,M7,0.6582700786427853,18,5.582700786427853
58,1,A_odontolyticus,M7,0.7699108603791565,24,6.699108603791564
59,1,A_odontolyticus,M7,0.7949999999999999,48,6.949999999999999
60,0,A_odontolyticus,M8,0.2077307102960415,8,1.0773071029604149
61,0,A_odontolyticus,M8,0.3663050343798937,12,2.663050343798937
62,0,A_odontolyticus,M8,0.8691285748947322,18,7.691285748947322
63,0,A_odontolyticus,M8,1.4072365531672595,24,13.072365531672594
64,0,A_odontolyticus,M8,1.7240000000000002,48,16.24
65,1,A_odontolyticus,M8,0.24998757372355734,8,1.4998757372355733
66,1,A_odontolyticus,M8,0.47565275757985204,12,3.7565275757985206
67,1,A_odontolyticus,M8,0.8932614209207522,18,7.9326142092075225
68,1,A_odontolyticus,M8,1.0640039166354431,24,9.64003916635443
69,1,A_odontolyticus,M8,1.105,48,10.049999999999999
70,0,A_odontolyticus,M9,0.1,8,0.0
71,0,A_odontolyticus,M9,0.1,12,0.0
72,0,A_odontolyticus,M9,0.1,18,0.0
73,0,A_odontolyticus,M9,0.1,24,0.0
74,0,A_odontolyticus,M9,0.1,48,0.0
75,1,A_odontolyticus,M9,0.1,8,0.0
76,1,A_odontolyticus,M9,0.1,12,0.0
77,1,A_odontolyticus,M9,0.1,18,0.0
78,1,A_odontolyticus,M9,0.1,24,0.0
79,1,A_odontolyticus,M9,0.1,48,0.0
80,0,A_odontolyticus,M10,0.1,8,0.0
81,0,A_odontolyticus,M10,0.1,12,0.0
82,0,A_odontolyticus,M10,0.1,18,0.0
83,0,A_odontolyticus,M10,0.1,24,0.0
84,0,A_odontolyticus,M10,0.1,48,0.0
85,1,A_odontolyticus,M10,0.1,8,0.0
86,1,A_odontolyticus,M10,0.1,12,0.0
87,1,A_odontolyticus,M10,0.1,18,0.0
88,1,A_odontolyticus,M10,0.1,24,0.0
89,1,A_odontolyticus,M10,0.1,48,0.0
90,0,A_odontolyticus,M11,,8,
91,0,A_odontolyticus,M11,,12,
92,0,A_odontolyticus,M11,,18,
93,0,A_odontolyticus,M11,,24,
94,0,A_odontolyticus,M11,,48,
95,1,A_odontolyticus,M11,,8,
96,1,A_odontolyticus,M11,,12,
97,1,A_odontolyticus,M11,,18,
98,1,A_odontolyticus,M11,,24,
99,1,A_odontolyticus,M11,,48,
100,0,A_odontolyticus,M13,0.1,8,0.0
101,0,A_odontolyticus,M13,0.1,12,0.0
102,0,A_odontolyticus,M13,0.1,18,0.0
103,0,A_odontolyticus,M13,0.1,24,0.0
104,0,A_odontolyticus,M13,0.1,48,0.0
105,1,A_odontolyticus,M13,0.1,8,0.0
106,1,A_odontolyticus,M13,0.1,12,0.0
107,1,A_odontolyticus,M13,0.1,18,0.0
108,1,A_odontolyticus,M13,0.1,24,0.0
109,1,A_odontolyticus,M13,0.1,48,0.0
110,0,A_odontolyticus,M14,0.1,8,0.0
111,0,A_odontolyticus,M14,0.1,12,0.0
112,0,A_odontolyticus,M14,0.1,18,0.0
113,0,A_odontolyticus,M14,0.1,24,0.0
114,0,A_odontolyticus,M14,0.1,48,0.0
115,1,A_odontolyticus,M14,0.1,8,0.0
116,1,A_odontolyticus,M14,0.1,12,0.0
117,1,A_odontolyticus,M14,0.1,18,0.0
118,1,A_odontolyticus,M14,0.1,24,0.0
119,1,A_odontolyticus,M14,0.1,48,0.0
120,0,A_odontolyticus,M16,0.1,8,0.0
121,0,A_odontolyticus,M16,0.1,12,0.0
122,0,A_odontolyticus,M16,0.1,18,0.0
123,0,A_odontolyticus,M16,0.1,24,0.0
124,0,A_odontolyticus,M16,0.1,48,0.0
125,0,B_adolescentis,M1,0.1,8,0.0
126,0,B_adolescentis,M1,0.1,12,0.0
127,0,B_adolescentis,M1,0.1,18,0.0
128,0,B_adolescentis,M1,0.1,24,0.0
129,0,B_adolescentis,M1,0.1,48,0.0
130,0,B_adolescentis,M2,0.17491202574231107,8,0.7491202574231106
131,0,B_adolescentis,M2,0.29185065389353143,12,1.9185065389353142
132,0,B_adolescentis,M2,0.7029494040726492,18,6.029494040726491
133,0,B_adolescentis,M2,1.2105400474510506,24,11.105400474510505
134,0,B_adolescentis,M2,1.5390000000000001,48,14.39
135,0,B_adolescentis,M3,0.1780080613393205,8,0.780080613393205
136,0,B_adolescentis,M3,0.29342644732858525,12,1.9342644732858523
137,0,B_adolescentis,M3,0.6072845054778537,18,5.072845054778537
138,0,B_adolescentis,M3,0.8537064351280975,24,7.537064351280975
139,0,B_adolescentis,M3,0.959,48,8.59
140,0,B_adolescentis,M4,0.18300048921839107,8,0.8300048921839106
141,0,B_adolescentis,M4,0.30020183990289884,12,2.002018399028988
142,0,B_adolescentis,M4,0.5597217917582279,18,4.597217917582279
143,0,B_adolescentis,M4,0.7099021614370181,24,6.099021614370181
144,0,B_adolescentis,M4,0.7605,48,6.6049999999999995
145,0,B_adolescentis,M5,0.19334652671204455,8,0.9334652671204454
146,0,B_adolescentis,M5,0.3436174445622816,12,2.436174445622816
147,0,B_adolescentis,M5,0.7199849108800932,18,6.199849108800932
148,0,B_adolescentis,M5,0.9513292116108472,24,8.513292116108472
149,0,B_adolescentis,M5,1.0250000000000001,48,9.250000000000002
150,0,B_adolescentis,M7,0.19476829228153603,8,0.9476829228153602
151,0,B_adolescentis,M7,0.33645308615296887,12,2.3645308615296887
152,0,B_adolescentis,M7,0.6212614899685598,18,5.212614899685597
153,0,B_adolescentis,M7,0.7542572118615195,24,6.542572118615195
154,0,B_adolescentis,M7,0.7899999999999999,48,6.8999999999999995
155,0,B_adolescentis,M8,0.28188252640279743,8,1.818825264027974
156,0,B_adolescentis,M8,0.5508637524369019,12,4.508637524369019
157,0,B_adolescentis,M8,0.7972784196429991,18,6.97278419642999
158,0,B_adolescentis,M8,0.8356935254419875,24,7.3569352544198745
159,0,B_adolescentis,M8,0.84,48,7.3999999999999995
160,0,B_adolescentis,M9,0.1,8,0.0
161,0,B_adolescentis,M9,0.1,12,0.0
162,0,B_adolescentis,M9,0.1,18,0.0
163,0,B_adolescentis,M9,0.1,24,0.0
164,0,B_adolescentis,M9,0.1,48,0.0
165,0,B_adolescentis,M10,0.21081771333599875,8,1.1081771333599872
166,0,B_adolescentis,M10,0.38590295736440905,12,2.8590295736440905
167,0,B_adolescentis,M10,0.698734469488017,18,5.98734469488017
168,0,B_adolescentis,M10,0.8142645447788713,24,7.142645447788714
169,0,B_adolescentis,M10,0.839,48,7.39
170,0,B_adolescentis,M11,0.15498611149809102,8,0.5498611149809102
171,0,B_adolescentis,M11,0.2207276247509552,12,1.2072762475095518
172,0,B_adolescentis,M11,0.4169466376728974,18,3.169466376728974
173,0,B_adolescentis,M11,0.6584223883926965,24,5.584223883926965
174,0,B_adolescentis,M11,0.8714999999999999,48,7.714999999999999
175,0,B_adolescentis,M13,0.1,8,0.0
176,0,B_adolescentis,M13,0.1,12,0.0
177,0,B_adolescentis,M13,0.1,18,0.0
178,0,B_adolescentis,M13,0.1,24,0.0
179,0,B_adolescentis,M13,0.1,48,0.0
180,0,B_adolescentis,M14,0.2124572369113778,8,1.124572369113778
181,0,B_adolescentis,M14,0.27145779833306516,12,1.7145779833306514
182,0,B_adolescentis,M14,0.294836234833701,18,1.94836234833701
183,0,B_adolescentis,M14,0.2972572468207517,24,1.972572468207517
184,0,B_adolescentis,M14,0.2975,48,1.9749999999999996
185,0,B_adolescentis,M16,0.1,8,0.0
186,0,B_adolescentis,M16,0.1,12,0.0
187,0,B_adolescentis,M16,0.1,18,0.0
188,0,B_adolescentis,M16,0.1,24,0.0
189,0,B_adolescentis,M16,0.1,48,0.0
190,0,B_animalis_subsp_lactis_BI_07,M1,0.1,8,0.0
191,0,B_animalis_subsp_lactis_BI_07,M1,0.1,12,0.0
192,0,B_animalis_subsp_lactis_BI_07,M1,0.1,18,0.0
193,0,B_animalis_subsp_lactis_BI_07,M1,0.1,24,0.0
194,0,B_animalis_subsp_lactis_BI_07,M1,0.1,48,0.0
195,1,B_animalis_subsp_lactis_BI_07,M1,0.1,8,0.0
196,1,B_animalis_subsp_lactis_BI_07,M1,0.1,12,0.0
197,1,B_animalis_subsp_lactis_BI_07,M1,0.1,18,0.0
198,1,B_animalis_subsp_lactis_BI_07,M1,0.1,24,0.0
199,1,B_animalis_subsp_lactis_BI_07,M1,0.1,48,0.0
200,0,B_animalis_subsp_lactis_BI_07,M2,0.22718371869513687,8,1.2718371869513685
201,0,B_animalis_subsp_lactis_BI_07,M2,0.42757396269231407,12,3.2757396269231407
202,0,B_animalis_subsp_lactis_BI_07,M2,0.7637417509036936,18,6.637417509036935
203,0,B_animalis_subsp_lactis_BI_07,M2,0.8772865026696747,24,7.7728650266967465
204,0,B_animalis_subsp_lactis_BI_07,M2,0.9,48,8.0
205,1,B_animalis_subsp_lactis_BI_07,M2,0.555040539788441,8,4.55040539788441
206,1,B_animalis_subsp_lactis_BI_07,M2,0.7522992985140625,12,6.522992985140625
207,1,B_animalis_subsp_lactis_BI_07,M2,0.7792737716009202,18,6.792737716009201
208,1,B_animalis_subsp_lactis_BI_07,M2,0.7799816975119481,24,6.799816975119481
209,1,B_animalis_subsp_lactis_BI_07,M2,0.78,48,6.8
210,0,B_animalis_subsp_lactis_BI_07,M3,0.2581135014064782,8,1.581135014064782
211,0,B_animalis_subsp_lactis_BI_07,M3,0.45733073907154664,12,3.5733073907154664
212,0,B_animalis_subsp_lactis_BI_07,M3,0.6510224830371202,18,5.510224830371202
213,0,B_animalis_subsp_lactis_BI_07,M3,0.6885938481079564,24,5.885938481079564
214,0,B_animalis_subsp_lactis_BI_07,M3,0.694,48,5.9399999999999995
215,1,B_animalis_subsp_lactis_BI_07,M3,0.5462847969539207,8,4.462847969539207
216,1,B_animalis_subsp_lactis_BI_07,M3,0.8268686880118016,12,7.268686880118016
217,1,B_animalis_subsp_lactis_BI_07,M3,0.8937055291971774,18,7.937055291971774
218,1,B_animalis_subsp_lactis_BI_07,M3,0.8968577090463302,24,7.968577090463302
219,1,B_animalis_subsp_lactis_BI_07,M3,0.897,48,7.97
220,0,B_animalis_subsp_lactis_BI_07,M4,0.4638678280218197,8,3.638678280218197
221,0,B_animalis_subsp_lactis_BI_07,M4,0.6935539380045692,12,5.935539380045692
222,0,B_animalis_subsp_lactis_BI_07,M4,0.7419986510542804,18,6.419986510542804
223,0,B_animalis_subsp_lactis_BI_07,M4,0.7439263714012327,24,6.439263714012327
224,0,B_animalis_subsp_lactis_BI_07,M4,0.744,48,6.4399999999999995
225,1,B_animalis_subsp_lactis_BI_07,M4,0.4518994596778837,8,3.518994596778837
226,1,B_animalis_subsp_lactis_BI_07,M4,0.8134423562227286,12,7.134423562227286
227,1,B_animalis_subsp_lactis_BI_07,M4,0.9349978242249124,18,8.349978242249124
228,1,B_animalis_subsp_lactis_BI_07,M4,0.941671527549248,24,8.41671527549248
229,1,B_animalis_subsp_lactis_BI_07,M4,0.942,48,8.42
230,0,B_animalis_subsp_lactis_BI_07,M5,0.15681915324248838,8,0.5681915324248837
231,0,B_animalis_subsp_lactis_BI_07,M5,0.22485089028408106,12,1.2485089028408105
232,0,B_animalis_subsp_lactis_BI_07,M5,0.41502313648679,18,3.1502313648679
233,0,B_animalis_subsp_lactis_BI_07,M5,0.6177308456744524,24,5.177308456744523
234,0,B_animalis_subsp_lactis_BI_07,M5,0.766,48,6.66
235,1,B_animalis_subsp_lactis_BI_07,M5,0.80893711095688,8,7.0893711095688
236,1,B_animalis_subsp_lactis_BI_07,M5,1.0142983063997986,12,9.142983063997985
237,1,B_animalis_subsp_lactis_BI_07,M5,1.030760548783865,18,9.307605487838648
238,1,B_animalis_subsp_lactis_BI_07,M5,1.0309966268654043,24,9.309966268654042
239,1,B_animalis_subsp_lactis_BI_07,M5,1.0310000000000001,48,9.31
240,0,B_animalis_subsp_lactis_BI_07,M7,0.3186767632390757,8,2.1867676323907568
241,0,B_animalis_subsp_lactis_BI_07,M7,0.5194164195592755,12,4.194164195592755
242,0,B_animalis_subsp_lactis_BI_07,M7,0.603738199605723,18,5.0373819960572295
243,0,B_animalis_subsp_lactis_BI_07,M7,0.6105141363304666,24,5.105141363304666
244,0,B_animalis_subsp_lactis_BI_07,M7,0.611,48,5.109999999999999
245,1,B_animalis_subsp_lactis_BI_07,M7,0.6233940517199179,8,5.233940517199179
246,1,B_animalis_subsp_lactis_BI_07,M7,0.7466318688720068,12,6.466318688720068
247,1,B_animalis_subsp_lactis_BI_07,M7,0.7568342060472552,18,6.568342060472552
248,1,B_animalis_subsp_lactis_BI_07,M7,0.7569973893652412,24,6.569973893652412
249,1,B_animalis_subsp_lactis_BI_07,M7,0.757,48,6.57
250,0,B_animalis_subsp_lactis_BI_07,M8,0.5879768937044683,8,4.879768937044682
251,0,B_animalis_subsp_lactis_BI_07,M8,0.6557507954937333,12,5.557507954937333
252,0,B_animalis_subsp_lactis_BI_07,M8,0.6599495212207731,18,5.599495212207731
253,0,B_animalis_subsp_lactis_BI_07,M8,0.6599994047766544,24,5.599994047766544
254,0,B_animalis_subsp_lactis_BI_07,M8,0.66,48,5.6000000000000005
255,1,B_animalis_subsp_lactis_BI_07,M8,0.7504986904038052,8,6.504986904038052
256,1,B_animalis_subsp_lactis_BI_07,M8,0.9336579865428313,12,8.336579865428313
257,1,B_animalis_subsp_lactis_BI_07,M8,0.9487686603781263,18,8.487686603781263
258,1,B_animalis_subsp_lactis_BI_07,M8,0.9489965728519598,24,8.489965728519598
259,1,B_animalis_subsp_lactis_BI_07,M8,0.949,48,8.489999999999998
260,0,B_animalis_subsp_lactis_BI_07,M9,0.1,8,0.0
261,0,B_animalis_subsp_lactis_BI_07,M9,0.1,12,0.0
262,0,B_animalis_subsp_lactis_BI_07,M9,0.1,18,0.0
263,0,B_animalis_subsp_lactis_BI_07,M9,0.1,24,0.0
264,0,B_animalis_subsp_lactis_BI_07,M9,0.1,48,0.0
265,1,B_animalis_subsp_lactis_BI_07,M9,0.1,8,0.0
266,1,B_animalis_subsp_lactis_BI_07,M9,0.1,12,0.0
267,1,B_animalis_subsp_lactis_BI_07,M9,0.1,18,0.0
268,1,B_animalis_subsp_lactis_BI_07,M9,0.1,24,0.0
269,1,B_animalis_subsp_lactis_BI_07,M9,0.1,48,0.0
270,0,B_animalis_subsp_lactis_BI_07,M10,0.32272545198493324,8,2.2272545198493323
271,0,B_animalis_subsp_lactis_BI_07,M10,0.5312339926283288,12,4.312339926283288
272,0,B_animalis_subsp_lactis_BI_07,M10,0.6194397269484901,18,5.194397269484901
273,0,B_animalis_subsp_lactis_BI_07,M10,0.626497769849976,24,5.264977698499759
274,0,B_animalis_subsp_lactis_BI_07,M10,0.627,48,5.27
275,1,B_animalis_subsp_lactis_BI_07,M10,0.5642403931973956,8,4.642403931973956
276,1,B_animalis_subsp_lactis_BI_07,M10,0.8767311503104989,12,7.767311503104988
277,1,B_animalis_subsp_lactis_BI_07,M10,0.9364391978110328,18,8.364391978110328
278,1,B_animalis_subsp_lactis_BI_07,M10,0.9384360007349,24,8.384360007348999
279,1,B_animalis_subsp_lactis_BI_07,M10,0.9385,48,8.385
280,0,B_animalis_subsp_lactis_BI_07,M11,0.2658597881864888,8,1.6585978818648879
281,0,B_animalis_subsp_lactis_BI_07,M11,0.3238047495964168,12,2.238047495964168
282,0,B_animalis_subsp_lactis_BI_07,M11,0.3362900052721224,18,2.3629000527212236
283,0,B_animalis_subsp_lactis_BI_07,M11,0.33696371283392257,24,2.3696371283392255
284,0,B_animalis_subsp_lactis_BI_07,M11,0.33699999999999997,48,2.3699999999999997
285,1,B_animalis_subsp_lactis_BI_07,M11,0.48774434659711974,8,3.8774434659711976
286,1,B_animalis_subsp_lactis_BI_07,M11,0.7994525925739706,12,6.994525925739706
287,1,B_animalis_subsp_lactis_BI_07,M11,0.9012628564189324,18,8.012628564189324
288,1,B_animalis_subsp_lactis_BI_07,M11,0.907632079510447,24,8.07632079510447
289,1,B_animalis_subsp_lactis_BI_07,M11,0.908,48,8.08
290,0,B_animalis_subsp_lactis_BI_07,M13,0.1,8,0.0
291,0,B_animalis_subsp_lactis_BI_07,M13,0.1,12,0.0
292,0,B_animalis_subsp_lactis_BI_07,M13,0.1,18,0.0
293,0,B_animalis_subsp_lactis_BI_07,M13,0.1,24,0.0
294,0,B_animalis_subsp_lactis_BI_07,M13,0.1,48,0.0
295,1,B_animalis_subsp_lactis_BI_07,M13,0.1,8,0.0
296,1,B_animalis_subsp_lactis_BI_07,M13,0.1,12,0.0
297,1,B_animalis_subsp_lactis_BI_07,M13,0.1,18,0.0
298,1,B_animalis_subsp_lactis_BI_07,M13,0.1,24,0.0
299,1,B_animalis_subsp_lactis_BI_07,M13,0.1,48,0.0
300,0,B_animalis_subsp_lactis_BI_07,M14,0.1,8,0.0
301,0,B_animalis_subsp_lactis_BI_07,M14,0.1,12,0.0
302,0,B_animalis_subsp_lactis_BI_07,M14,0.1,18,0.0
303,0,B_animalis_subsp_lactis_BI_07,M14,0.1,24,0.0
304,0,B_animalis_subsp_lactis_BI_07,M14,0.1,48,0.0
305,1,B_animalis_subsp_lactis_BI_07,M14,0.1,8,0.0
306,1,B_animalis_subsp_lactis_BI_07,M14,0.1,12,0.0
307,1,B_animalis_subsp_lactis_BI_07,M14,0.1,18,0.0
308,1,B_animalis_subsp_lactis_BI_07,M14,0.1,24,0.0
309,1,B_animalis_subsp_lactis_BI_07,M14,0.1,48,0.0
310,0,B_animalis_subsp_lactis_BI_07,M16,0.1,8,0.0
311,0,B_animalis_subsp_lactis_BI_07,M16,0.1,12,0.0
312,0,B_animalis_subsp_lactis_BI_07,M16,0.1,18,0.0
313,0,B_animalis_subsp_lactis_BI_07,M16,0.1,24,0.0
314,0,B_animalis_subsp_lactis_BI_07,M16,0.1,48,0.0
315,0,B_animalis_subsp_lactis_BL_04,M1,0.1,8,0.0
316,0,B_animalis_subsp_lactis_BL_04,M1,0.1,12,0.0
317,0,B_animalis_subsp_lactis_BL_04,M1,0.1,18,0.0
318,0,B_animalis_subsp_lactis_BL_04,M1,0.1,24,0.0
319,0,B_animalis_subsp_lactis_BL_04,M1,0.1,48,0.0
320,0,B_animalis_subsp_lactis_BL_04,M2,0.1,8,0.0
321,0,B_animalis_subsp_lactis_BL_04,M2,0.1,12,0.0
