community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	L_lactis	iMM904	M_ac_e	1.0	0.01	1	0.01
all	minimal	L_lactis	iMM904	M_acald_e	1.0	0.05	1	0.05
all	minimal	L_lactis	iMM904	M_ala__L_e	1.0	0.06	1	0.06
all	minimal	L_lactis	iMM904	M_arg__L_e	1.0	0.05	1	0.05
all	minimal	L_lactis	iMM904	M_co2_e	1.0	0.02	1	0.02
all	minimal	L_lactis	iMM904	M_fum_e	1.0	0.01	1	0.01
all	minimal	L_lactis	iMM904	M_glu__L_e	1.0	0.13	1	0.13
all	minimal	L_lactis	iMM904	M_gly_e	1.0	0.06	1	0.06
all	minimal	L_lactis	iMM904	M_glyc_e	1.0	0.62	1	0.62
all	minimal	L_lactis	iMM904	M_gua_e	1.0	0.01	1	0.01
all	minimal	L_lactis	iMM904	M_lac__L_e	1.0	0.03	1	0.03
all	minimal	L_lactis	iMM904	M_mal__L_e	1.0	0.04	1	0.04
all	minimal	L_lactis	iMM904	M_met__L_e	1.0	0.01	1	0.01
all	minimal	L_lactis	iMM904	M_nh4_e	1.0	0.03	1	0.03
all	minimal	L_lactis	iMM904	M_orn_e	1.0	0.01	1	0.01
all	minimal	L_lactis	iMM904	M_pi_e	1.0	0.42	1	0.42
all	minimal	L_lactis	iMM904	M_pnto__R_e	1.0	1.0	1	1.0
all	minimal	L_lactis	iMM904	M_pro__L_e	1.0	0.02	1	0.02
all	minimal	L_lactis	iMM904	M_pyr_e	1.0	0.15	1	0.15
all	minimal	L_lactis	iMM904	M_sbt__D_e	1.0	0.21	1	0.21
all	minimal	L_lactis	iMM904	M_ser__L_e	1.0	0.15	1	0.15
all	minimal	L_lactis	iMM904	M_thm_e	1.0	1.0	1	1.0
all	minimal	L_lactis	iMM904	M_val__L_e	1.0	1.0	1	1.0
all	minimal	L_lactis	L_plantarum	M_ac_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_acald_e	1.0	0.05	1	0.05
all	minimal	L_lactis	L_plantarum	M_ala__D_e	1.0	0.08	1	0.08
all	minimal	L_lactis	L_plantarum	M_ala__L_e	1.0	0.06	1	0.06
all	minimal	L_lactis	L_plantarum	M_co2_e	1.0	0.02	1	0.02
all	minimal	L_lactis	L_plantarum	M_cu2_e	1.0	1.0	1	1.0
all	minimal	L_lactis	L_plantarum	M_fe2_e	1.0	1.0	1	1.0
all	minimal	L_lactis	L_plantarum	M_fum_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_glu__L_e	1.0	0.13	1	0.13
all	minimal	L_lactis	L_plantarum	M_gly_e	1.0	0.06	1	0.06
all	minimal	L_lactis	L_plantarum	M_glyc_e	1.0	0.62	1	0.62
all	minimal	L_lactis	L_plantarum	M_mal__L_e	1.0	0.04	1	0.04
all	minimal	L_lactis	L_plantarum	M_nh4_e	1.0	0.03	1	0.03
all	minimal	L_lactis	L_plantarum	M_pnto__R_e	1.0	1.0	1	1.0
all	minimal	L_lactis	L_plantarum	M_pro__L_e	1.0	0.02	1	0.02
all	minimal	L_lactis	L_plantarum	M_ser__D_e	1.0	0.05	1	0.05
all	minimal	L_lactis	L_plantarum	M_ser__L_e	1.0	0.15	1	0.15
all	minimal	L_lactis	L_plantarum	M_val__L_e	1.0	1.0	1	1.0
all	minimal	L_plantarum	iMM904	M_4abz_e	1.0	0.03	1	0.03
all	minimal	L_plantarum	iMM904	M_ac_e	1.0	0.01	1	0.01
all	minimal	L_plantarum	iMM904	M_acald_e	1.0	0.03	1	0.03
all	minimal	L_plantarum	iMM904	M_akg_e	1.0	0.33	1	0.33
all	minimal	L_plantarum	iMM904	M_ala__L_e	1.0	0.05	1	0.05
all	minimal	L_plantarum	iMM904	M_arg__L_e	1.0	0.06	1	0.06
all	minimal	L_plantarum	iMM904	M_cys__L_e	1.0	0.46	1	0.46
all	minimal	L_plantarum	iMM904	M_gln__L_e	1.0	0.39	1	0.39
all	minimal	L_plantarum	iMM904	M_glu__L_e	1.0	0.29	1	0.29
all	minimal	L_plantarum	iMM904	M_gly_e	1.0	0.02	1	0.02
all	minimal	L_plantarum	iMM904	M_h_e	1.0	0.02	1	0.02
all	minimal	L_plantarum	iMM904	M_leu__L_e	1.0	1.0	1	1.0
all	minimal	L_plantarum	iMM904	M_lys__L_e	1.0	0.02	1	0.02
all	minimal	L_plantarum	iMM904	M_mal__L_e	1.0	0.03	1	0.03
all	minimal	L_plantarum	iMM904	M_nh4_e	1.0	0.05	1	0.05
all	minimal	L_plantarum	iMM904	M_orn_e	1.0	0.01	1	0.01
all	minimal	L_plantarum	iMM904	M_pi_e	1.0	1.0	1	1.0
all	minimal	L_plantarum	iMM904	M_pro__L_e	1.0	0.01	1	0.01
all	minimal	L_plantarum	iMM904	M_sbt__D_e	1.0	0.51	1	0.51
all	minimal	L_plantarum	iMM904	M_ser__L_e	1.0	0.02	1	0.02
all	minimal	L_plantarum	iMM904	M_thr__L_e	1.0	0.01	1	0.01
