,rep,species,medium,OD,time,fold_change
0,0,A_odontolyticus,M1,0.1,8,0.0
1,0,A_odontolyticus,M1,0.1,12,0.0
2,0,A_odontolyticus,M1,0.1,18,0.0
3,0,A_odontolyticus,M1,0.1,24,0.0
4,0,A_odontolyticus,M1,0.1,48,0.0
5,1,A_odontolyticus,M1,0.1,8,0.0
6,1,A_odontolyticus,M1,0.1,12,0.0
7,1,A_odontolyticus,M1,0.1,18,0.0
8,1,A_odontolyticus,M1,0.1,24,0.0
9,1,A_odontolyticus,M1,0.1,48,0.0
10,0,A_odontolyticus,M2,0.1999988859141823,8,0.9999888591418229
11,0,A_odontolyticus,M2,0.1999999996262617,12,0.9999999962626168
12,0,A_odontolyticus,M2,0.19999999999999774,18,0.9999999999999772
13,0,A_odontolyticus,M2,0.2,24,1.0
14,0,A_odontolyticus,M2,,48,
15,1,A_odontolyticus,M2,0.33267319118846295,8,2.3267319118846292
16,1,A_odontolyticus,M2,0.3580345237068817,12,2.5803452370688174
17,1,A_odontolyticus,M2,0.35804376776070646,18,2.5804376776070646
18,1,A_odontolyticus,M2,0.35804376781575964,24,2.5804376781575966
19,1,A_odontolyticus,M2,1.1375000000000002,48,10.375
20,0,A_odontolyticus,M3,0.35944302958891305,8,2.5944302958891305
21,0,A_odontolyticus,M3,0.3613406896670409,12,2.6134068966704094
22,0,A_odontolyticus,M3,0.3613413124069237,18,2.613413124069237
23,0,A_odontolyticus,M3,0.36134131241058376,24,2.6134131241058376
24,0,A_odontolyticus,M3,1.598,48,14.979999999999999
25,1,A_odontolyticus,M3,0.1999988859141823,8,0.9999888591418229
26,1,A_odontolyticus,M3,0.1999999996262617,12,0.9999999962626168
27,1,A_odontolyticus,M3,0.19999999999999774,18,0.9999999999999772
28,1,A_odontolyticus,M3,0.2,24,1.0
29,1,A_odontolyticus,M3,,48,
30,0,A_odontolyticus,M4,0.3849111286611411,8,2.8491112866114108
31,0,A_odontolyticus,M4,0.4432267919695151,12,3.432267919695151
32,0,A_odontolyticus,M4,0.44324934904451463,18,3.4324934904451463
33,0,A_odontolyticus,M4,0.4432493491742331,24,3.432493491742331
34,0,A_odontolyticus,M4,1.332,48,12.319999999999999
35,1,A_odontolyticus,M4,0.1999988859141823,8,0.9999888591418229
36,1,A_odontolyticus,M4,0.1999999996262617,12,0.9999999962626168
37,1,A_odontolyticus,M4,0.19999999999999774,18,0.9999999999999772
38,1,A_odontolyticus,M4,0.2,24,1.0
39,1,A_odontolyticus,M4,,48,
40,0,A_odontolyticus,M5,0.16084659876164653,8,0.6084659876164652
41,0,A_odontolyticus,M5,0.7275781577072409,12,6.275781577072409
42,0,A_odontolyticus,M5,0.7298394430100483,18,6.298394430100483
43,0,A_odontolyticus,M5,0.72983946017521,24,6.2983946017521
44,0,A_odontolyticus,M5,1.747,48,16.47
45,1,A_odontolyticus,M5,0.1999988859141823,8,0.9999888591418229
46,1,A_odontolyticus,M5,0.1999999996262617,12,0.9999999962626168
47,1,A_odontolyticus,M5,0.19999999999999774,18,0.9999999999999772
48,1,A_odontolyticus,M5,0.2,24,1.0
49,1,A_odontolyticus,M5,,48,
50,0,A_odontolyticus,M7,0.3428592040496222,8,2.428592040496222
51,0,A_odontolyticus,M7,0.34437632739878155,12,2.4437632739878152
52,0,A_odontolyticus,M7,0.34437682628300276,18,2.4437682628300275
53,0,A_odontolyticus,M7,0.34437682628594857,24,2.4437682628594857
54,0,A_odontolyticus,M7,1.4135,48,13.134999999999998
55,1,A_odontolyticus,M7,0.1937223229773094,8,0.9372232297730939
56,1,A_odontolyticus,M7,0.579266092725826,12,4.792660927258259
57,1,A_odontolyticus,M7,0.5798446508680706,18,4.798446508680706
58,1,A_odontolyticus,M7,0.5798446537734768,24,4.798446537734768
59,1,A_odontolyticus,M7,0.7949999999999999,48,6.949999999999999
60,0,A_odontolyticus,M8,0.21836801279688067,8,1.1836801279688065
61,0,A_odontolyticus,M8,0.7816843735626198,12,6.816843735626198
62,0,A_odontolyticus,M8,0.7826638735647664,18,6.826638735647664
63,0,A_odontolyticus,M8,0.7826638786975662,24,6.8266387869756615
64,0,A_odontolyticus,M8,1.7240000000000002,48,16.24
65,1,A_odontolyticus,M8,0.44464881488893293,8,3.4464881488893293
66,1,A_odontolyticus,M8,0.7398124251187251,12,6.398124251187252
67,1,A_odontolyticus,M8,0.7399668327841211,18,6.399668327841211
68,1,A_odontolyticus,M8,0.7399668335141352,24,6.399668335141351
69,1,A_odontolyticus,M8,1.105,48,10.049999999999999
70,0,A_odontolyticus,M9,0.1,8,0.0
71,0,A_odontolyticus,M9,0.1,12,0.0
72,0,A_odontolyticus,M9,0.1,18,0.0
73,0,A_odontolyticus,M9,0.1,24,0.0
74,0,A_odontolyticus,M9,0.1,48,0.0
75,1,A_odontolyticus,M9,0.1,8,0.0
76,1,A_odontolyticus,M9,0.1,12,0.0
77,1,A_odontolyticus,M9,0.1,18,0.0
78,1,A_odontolyticus,M9,0.1,24,0.0
79,1,A_odontolyticus,M9,0.1,48,0.0
80,0,A_odontolyticus,M10,0.1,8,0.0
81,0,A_odontolyticus,M10,0.1,12,0.0
82,0,A_odontolyticus,M10,0.1,18,0.0
83,0,A_odontolyticus,M10,0.1,24,0.0
84,0,A_odontolyticus,M10,0.1,48,0.0
85,1,A_odontolyticus,M10,0.1,8,0.0
86,1,A_odontolyticus,M10,0.1,12,0.0
87,1,A_odontolyticus,M10,0.1,18,0.0
88,1,A_odontolyticus,M10,0.1,24,0.0
89,1,A_odontolyticus,M10,0.1,48,0.0
90,0,A_odontolyticus,M11,0.1999988859141823,8,0.9999888591418229
91,0,A_odontolyticus,M11,0.1999999996262617,12,0.9999999962626168
92,0,A_odontolyticus,M11,0.19999999999999774,18,0.9999999999999772
93,0,A_odontolyticus,M11,0.2,24,1.0
94,0,A_odontolyticus,M11,,48,
95,1,A_odontolyticus,M11,0.1999988859141823,8,0.9999888591418229
96,1,A_odontolyticus,M11,0.1999999996262617,12,0.9999999962626168
97,1,A_odontolyticus,M11,0.19999999999999774,18,0.9999999999999772
98,1,A_odontolyticus,M11,0.2,24,1.0
99,1,A_odontolyticus,M11,,48,
100,0,A_odontolyticus,M13,0.1,8,0.0
101,0,A_odontolyticus,M13,0.1,12,0.0
102,0,A_odontolyticus,M13,0.1,18,0.0
103,0,A_odontolyticus,M13,0.1,24,0.0
104,0,A_odontolyticus,M13,0.1,48,0.0
105,1,A_odontolyticus,M13,0.1,8,0.0
106,1,A_odontolyticus,M13,0.1,12,0.0
107,1,A_odontolyticus,M13,0.1,18,0.0
108,1,A_odontolyticus,M13,0.1,24,0.0
109,1,A_odontolyticus,M13,0.1,48,0.0
110,0,A_odontolyticus,M14,0.1,8,0.0
111,0,A_odontolyticus,M14,0.1,12,0.0
112,0,A_odontolyticus,M14,0.1,18,0.0
113,0,A_odontolyticus,M14,0.1,24,0.0
114,0,A_odontolyticus,M14,0.1,48,0.0
115,1,A_odontolyticus,M14,0.1,8,0.0
116,1,A_odontolyticus,M14,0.1,12,0.0
117,1,A_odontolyticus,M14,0.1,18,0.0
118,1,A_odontolyticus,M14,0.1,24,0.0
119,1,A_odontolyticus,M14,0.1,48,0.0
120,0,A_odontolyticus,M16,0.1,8,0.0
121,0,A_odontolyticus,M16,0.1,12,0.0
122,0,A_odontolyticus,M16,0.1,18,0.0
123,0,A_odontolyticus,M16,0.1,24,0.0
124,0,A_odontolyticus,M16,0.1,48,0.0
125,0,B_adolescentis,M1,0.1,8,0.0
126,0,B_adolescentis,M1,0.1,12,0.0
127,0,B_adolescentis,M1,0.1,18,0.0
128,0,B_adolescentis,M1,0.1,24,0.0
129,0,B_adolescentis,M1,0.1,48,0.0
130,0,B_adolescentis,M2,0.19962872285018674,8,0.9962872285018672
131,0,B_adolescentis,M2,0.6372704694319992,12,5.372704694319991
132,0,B_adolescentis,M2,0.6379464404100526,18,5.379464404100525
133,0,B_adolescentis,M2,0.6379464436832575,24,5.379464436832575
134,0,B_adolescentis,M2,1.5390000000000001,48,14.39
135,0,B_adolescentis,M3,0.2718743568243819,8,1.7187435682438186
136,0,B_adolescentis,M3,0.5245487393812426,12,4.245487393812426
137,0,B_adolescentis,M3,0.5247265437031134,18,4.2472654370311345
138,0,B_adolescentis,M3,0.5247265445575227,24,4.247265445575226
139,0,B_adolescentis,M3,0.959,48,8.59
140,0,B_adolescentis,M4,0.4302897968931455,8,3.3028979689314553
141,0,B_adolescentis,M4,0.43347482782335944,12,3.3347482782335947
142,0,B_adolescentis,M4,0.4334757304771357,18,3.3347573047713572
143,0,B_adolescentis,M4,0.433475730481379,24,3.33475730481379
144,0,B_adolescentis,M4,0.7605,48,6.6049999999999995
145,0,B_adolescentis,M5,0.1898482103972079,8,0.8984821039720788
146,0,B_adolescentis,M5,0.6279306103849412,12,5.279306103849413
147,0,B_adolescentis,M5,0.6287143973100169,18,5.287143973100169
148,0,B_adolescentis,M5,0.6287144014695394,24,5.287144014695394
149,0,B_adolescentis,M5,1.0250000000000001,48,9.250000000000002
150,0,B_adolescentis,M7,0.35067873343156986,8,2.506787334315699
151,0,B_adolescentis,M7,0.5232589911940717,12,4.232589911940717
152,0,B_adolescentis,M7,0.5233683834713979,18,4.233683834713979
153,0,B_adolescentis,M7,0.5233683842665517,24,4.233683842665517
154,0,B_adolescentis,M7,0.7899999999999999,48,6.8999999999999995
155,0,B_adolescentis,M8,0.5380812934757822,8,4.380812934757821
156,0,B_adolescentis,M8,0.6869018272087076,12,5.869018272087076
157,0,B_adolescentis,M8,0.6869625266615307,18,5.869625266615307
158,0,B_adolescentis,M8,0.6869625269838114,24,5.869625269838115
159,0,B_adolescentis,M8,0.84,48,7.3999999999999995
160,0,B_adolescentis,M9,0.1,8,0.0
161,0,B_adolescentis,M9,0.1,12,0.0
162,0,B_adolescentis,M9,0.1,18,0.0
163,0,B_adolescentis,M9,0.1,24,0.0
164,0,B_adolescentis,M9,0.1,48,0.0
165,0,B_adolescentis,M10,0.23915360648081213,8,1.3915360648081212
166,0,B_adolescentis,M10,0.6047041020510288,12,5.047041020510288
167,0,B_adolescentis,M10,0.6050068668605262,18,5.050068668605261
168,0,B_adolescentis,M10,0.6050068679046506,24,5.050068679046507
169,0,B_adolescentis,M10,0.839,48,7.39
170,0,B_adolescentis,M11,0.33622746042544055,8,2.3622746042544054
171,0,B_adolescentis,M11,0.33712398475435157,12,2.3712398475435155
172,0,B_adolescentis,M11,0.3371242794339729,18,2.3712427943397287
173,0,B_adolescentis,M11,0.33712427943571815,24,2.3712427943571814
174,0,B_adolescentis,M11,0.8714999999999999,48,7.714999999999999
175,0,B_adolescentis,M13,0.1,8,0.0
176,0,B_adolescentis,M13,0.1,12,0.0
177,0,B_adolescentis,M13,0.1,18,0.0
178,0,B_adolescentis,M13,0.1,24,0.0
179,0,B_adolescentis,M13,0.1,48,0.0
180,0,B_adolescentis,M14,0.2541987059306357,8,1.541987059306357
181,0,B_adolescentis,M14,0.2542080742793371,12,1.542080742793371
182,0,B_adolescentis,M14,0.25420807739176754,18,1.5420807739176752
183,0,B_adolescentis,M14,0.2542080773917864,24,1.542080773917864
184,0,B_adolescentis,M14,0.2975,48,1.9749999999999996
185,0,B_adolescentis,M16,0.1,8,0.0
186,0,B_adolescentis,M16,0.1,12,0.0
187,0,B_adolescentis,M16,0.1,18,0.0
188,0,B_adolescentis,M16,0.1,24,0.0
189,0,B_adolescentis,M16,0.1,48,0.0
190,0,B_animalis_subsp_lactis_BI_07,M1,0.1,8,0.0
191,0,B_animalis_subsp_lactis_BI_07,M1,0.1,12,0.0
192,0,B_animalis_subsp_lactis_BI_07,M1,0.1,18,0.0
193,0,B_animalis_subsp_lactis_BI_07,M1,0.1,24,0.0
194,0,B_animalis_subsp_lactis_BI_07,M1,0.1,48,0.0
195,1,B_animalis_subsp_lactis_BI_07,M1,0.1,8,0.0
196,1,B_animalis_subsp_lactis_BI_07,M1,0.1,12,0.0
197,1,B_animalis_subsp_lactis_BI_07,M1,0.1,18,0.0
198,1,B_animalis_subsp_lactis_BI_07,M1,0.1,24,0.0
199,1,B_animalis_subsp_lactis_BI_07,M1,0.1,48,0.0
200,0,B_animalis_subsp_lactis_BI_07,M2,0.18817722594148978,8,0.8817722594148977
201,0,B_animalis_subsp_lactis_BI_07,M2,0.6746517638943175,12,5.746517638943175
202,0,B_animalis_subsp_lactis_BI_07,M2,0.6756362301109848,18,5.756362301109848
203,0,B_animalis_subsp_lactis_BI_07,M2,0.6756362354908247,24,5.756362354908247
204,0,B_animalis_subsp_lactis_BI_07,M2,0.9,48,8.0
205,1,B_animalis_subsp_lactis_BI_07,M2,0.7058947887794783,8,6.058947887794783
206,1,B_animalis_subsp_lactis_BI_07,M2,0.7092823434978387,12,6.092823434978387
207,1,B_animalis_subsp_lactis_BI_07,M2,0.709283384488551,18,6.09283384488551
208,1,B_animalis_subsp_lactis_BI_07,M2,0.7092833844941095,24,6.0928338449410955
209,1,B_animalis_subsp_lactis_BI_07,M2,0.78,48,6.8
210,0,B_animalis_subsp_lactis_BI_07,M3,0.18241566798092634,8,0.8241566798092633
211,0,B_animalis_subsp_lactis_BI_07,M3,0.6112812029711068,12,5.112812029711067
212,0,B_animalis_subsp_lactis_BI_07,M3,0.6121318008552946,18,5.121318008552946
213,0,B_animalis_subsp_lactis_BI_07,M3,0.6121318057114081,24,5.121318057114081
214,0,B_animalis_subsp_lactis_BI_07,M3,0.694,48,5.9399999999999995
215,1,B_animalis_subsp_lactis_BI_07,M3,0.7946676500034203,8,6.9466765000342034
216,1,B_animalis_subsp_lactis_BI_07,M3,0.8413372290903243,12,7.413372290903243
217,1,B_animalis_subsp_lactis_BI_07,M3,0.8413521456458223,18,7.413521456458223
218,1,B_animalis_subsp_lactis_BI_07,M3,0.8413521457231022,24,7.413521457231022
219,1,B_animalis_subsp_lactis_BI_07,M3,0.897,48,7.97
220,0,B_animalis_subsp_lactis_BI_07,M4,0.5253042680453242,8,4.253042680453241
221,0,B_animalis_subsp_lactis_BI_07,M4,0.7526083085716906,12,6.526083085716905
222,0,B_animalis_subsp_lactis_BI_07,M4,0.7527116282401015,18,6.527116282401015
223,0,B_animalis_subsp_lactis_BI_07,M4,0.7527116287665956,24,6.527116287665955
224,0,B_animalis_subsp_lactis_BI_07,M4,0.744,48,6.4399999999999995
225,1,B_animalis_subsp_lactis_BI_07,M4,0.6909421888810846,8,5.909421888810846
226,1,B_animalis_subsp_lactis_BI_07,M4,0.8471731839500792,12,7.471731839500793
227,1,B_animalis_subsp_lactis_BI_07,M4,0.8472313367178047,18,7.472313367178047
228,1,B_animalis_subsp_lactis_BI_07,M4,0.8472313370114043,24,7.472313370114043
229,1,B_animalis_subsp_lactis_BI_07,M4,0.942,48,8.42
230,0,B_animalis_subsp_lactis_BI_07,M5,0.3361856483876251,8,2.361856483876251
231,0,B_animalis_subsp_lactis_BI_07,M5,0.3436857534227915,12,2.436857534227915
232,0,B_animalis_subsp_lactis_BI_07,M5,0.34368828708419286,18,2.4368828708419286
233,0,B_animalis_subsp_lactis_BI_07,M5,0.3436882870991964,24,2.436882870991964
234,0,B_animalis_subsp_lactis_BI_07,M5,0.766,48,6.66
235,1,B_animalis_subsp_lactis_BI_07,M5,0.9880326822731152,8,8.880326822731153
236,1,B_animalis_subsp_lactis_BI_07,M5,1.0029770353984446,12,9.029770353984446
237,1,B_animalis_subsp_lactis_BI_07,M5,1.0029815069852457,18,9.029815069852457
238,1,B_animalis_subsp_lactis_BI_07,M5,1.0029815070078074,24,9.029815070078074
239,1,B_animalis_subsp_lactis_BI_07,M5,1.0310000000000001,48,9.31
240,0,B_animalis_subsp_lactis_BI_07,M7,0.19615147516413406,8,0.9615147516413405
241,0,B_animalis_subsp_lactis_BI_07,M7,0.6437666171003513,12,5.437666171003513
242,0,B_animalis_subsp_lactis_BI_07,M7,0.6445086278828385,18,5.445086278828384
243,0,B_animalis_subsp_lactis_BI_07,M7,0.6445086316024705,24,5.445086316024705
244,0,B_animalis_subsp_lactis_BI_07,M7,0.611,48,5.109999999999999
245,1,B_animalis_subsp_lactis_BI_07,M7,0.7237466528427574,8,6.237466528427574
246,1,B_animalis_subsp_lactis_BI_07,M7,0.7276672539088861,12,6.276672539088861
247,1,B_animalis_subsp_lactis_BI_07,M7,0.7276684502930896,18,6.2766845029308955
248,1,B_animalis_subsp_lactis_BI_07,M7,0.7276684502994046,24,6.276684502994046
249,1,B_animalis_subsp_lactis_BI_07,M7,0.757,48,6.57
250,0,B_animalis_subsp_lactis_BI_07,M8,0.6474321582180641,8,5.474321582180641
251,0,B_animalis_subsp_lactis_BI_07,M8,0.6497631567396486,12,5.4976315673964855
252,0,B_animalis_subsp_lactis_BI_07,M8,0.6497638795309316,18,5.497638795309316
253,0,B_animalis_subsp_lactis_BI_07,M8,0.6497638795348514,24,5.4976387953485135
254,0,B_animalis_subsp_lactis_BI_07,M8,0.66,48,5.6000000000000005
255,1,B_animalis_subsp_lactis_BI_07,M8,0.895897959655768,8,7.95897959655768
256,1,B_animalis_subsp_lactis_BI_07,M8,0.9010096881400962,12,8.010096881400962
257,1,B_animalis_subsp_lactis_BI_07,M8,0.9010112066088298,18,8.010112066088299
258,1,B_animalis_subsp_lactis_BI_07,M8,0.9010112066165266,24,8.010112066165265
259,1,B_animalis_subsp_lactis_BI_07,M8,0.949,48,8.489999999999998
260,0,B_animalis_subsp_lactis_BI_07,M9,0.1,8,0.0
261,0,B_animalis_subsp_lactis_BI_07,M9,0.1,12,0.0
262,0,B_animalis_subsp_lactis_BI_07,M9,0.1,18,0.0
263,0,B_animalis_subsp_lactis_BI_07,M9,0.1,24,0.0
264,0,B_animalis_subsp_lactis_BI_07,M9,0.1,48,0.0
265,1,B_animalis_subsp_lactis_BI_07,M9,0.1,8,0.0
266,1,B_animalis_subsp_lactis_BI_07,M9,0.1,12,0.0
267,1,B_animalis_subsp_lactis_BI_07,M9,0.1,18,0.0
268,1,B_animalis_subsp_lactis_BI_07,M9,0.1,24,0.0
269,1,B_animalis_subsp_lactis_BI_07,M9,0.1,48,0.0
270,0,B_animalis_subsp_lactis_BI_07,M10,0.3543557966771411,8,2.543557966771411
271,0,B_animalis_subsp_lactis_BI_07,M10,0.5414659427525634,12,4.414659427525634
272,0,B_animalis_subsp_lactis_BI_07,M10,0.541568346589542,18,4.41568346589542
273,0,B_animalis_subsp_lactis_BI_07,M10,0.5415683471626139,24,4.4156834716261395
274,0,B_animalis_subsp_lactis_BI_07,M10,0.627,48,5.27
275,1,B_animalis_subsp_lactis_BI_07,M10,0.8178328669398662,8,7.178328669398662
276,1,B_animalis_subsp_lactis_BI_07,M10,0.8517297804528311,12,7.517297804528311
277,1,B_animalis_subsp_lactis_BI_07,M10,0.8517432951074295,18,7.517432951074295
278,1,B_animalis_subsp_lactis_BI_07,M10,0.8517432952077681,24,7.517432952077681
279,1,B_animalis_subsp_lactis_BI_07,M10,0.9385,48,8.385
280,0,B_animalis_subsp_lactis_BI_07,M11,0.32312665720005307,8,2.2312665720005307
281,0,B_animalis_subsp_lactis_BI_07,M11,0.32429611765554656,12,2.2429611765554656
282,0,B_animalis_subsp_lactis_BI_07,M11,0.32429650281265077,18,2.2429650281265077
283,0,B_animalis_subsp_lactis_BI_07,M11,0.3242965028149338,24,2.2429650281493374
284,0,B_animalis_subsp_lactis_BI_07,M11,0.33699999999999997,48,2.3699999999999997
285,1,B_animalis_subsp_lactis_BI_07,M11,0.7421267934870458,8,6.421267934870458
286,1,B_animalis_subsp_lactis_BI_07,M11,0.8301769971437714,12,7.301769971437714
287,1,B_animalis_subsp_lactis_BI_07,M11,0.8302071155027074,18,7.3020711550270745
288,1,B_animalis_subsp_lactis_BI_07,M11,0.8302071156597691,24,7.302071156597691
289,1,B_animalis_subsp_lactis_BI_07,M11,0.908,48,8.08
290,0,B_animalis_subsp_lactis_BI_07,M13,0.1,8,0.0
291,0,B_animalis_subsp_lactis_BI_07,M13,0.1,12,0.0
292,0,B_animalis_subsp_lactis_BI_07,M13,0.1,18,0.0
293,0,B_animalis_subsp_lactis_BI_07,M13,0.1,24,0.0
294,0,B_animalis_subsp_lactis_BI_07,M13,0.1,48,0.0
295,1,B_animalis_subsp_lactis_BI_07,M13,0.1,8,0.0
296,1,B_animalis_subsp_lactis_BI_07,M13,0.1,12,0.0
297,1,B_animalis_subsp_lactis_BI_07,M13,0.1,18,0.0
298,1,B_animalis_subsp_lactis_BI_07,M13,0.1,24,0.0
299,1,B_animalis_subsp_lactis_BI_07,M13,0.1,48,0.0
300,0,B_animalis_subsp_lactis_BI_07,M14,0.1,8,0.0
301,0,B_animalis_subsp_lactis_BI_07,M14,0.1,12,0.0
302,0,B_animalis_subsp_lactis_BI_07,M14,0.1,18,0.0
303,0,B_animalis_subsp_lactis_BI_07,M14,0.1,24,0.0
304,0,B_animalis_subsp_lactis_BI_07,M14,0.1,48,0.0
305,1,B_animalis_subsp_lactis_BI_07,M14,0.1,8,0.0
306,1,B_animalis_subsp_lactis_BI_07,M14,0.1,12,0.0
307,1,B_animalis_subsp_lactis_BI_07,M14,0.1,18,0.0
308,1,B_animalis_subsp_lactis_BI_07,M14,0.1,24,0.0
309,1,B_animalis_subsp_lactis_BI_07,M14,0.1,48,0.0
310,0,B_animalis_subsp_lactis_BI_07,M16,0.1,8,0.0
311,0,B_animalis_subsp_lactis_BI_07,M16,0.1,12,0.0
312,0,B_animalis_subsp_lactis_BI_07,M16,0.1,18,0.0
