	medium	description	compound	name
0	LB	Lysogeny broth	adn	Adenosine
2	LB	Lysogeny broth	amp	AMP
3	LB	Lysogeny broth	arg__L	L-Arginine
4	LB	Lysogeny broth	aso3	Arsenite 
5	LB	Lysogeny broth	asp__L	L-Aspartate
6	LB	Lysogeny broth	ca2	Ca2+
7	LB	Lysogeny broth	cbl1	Vitamin B12
8	LB	Lysogeny broth	cd2	Cadmium 
9	LB	Lysogeny broth	cl	Cl-
10	LB	Lysogeny broth	cmp	CMP
11	LB	Lysogeny broth	cobalt2	Co2+
12	LB	Lysogeny broth	cro4	Chromate 
15	LB	Lysogeny broth	dad_2	Deoxyadenosine 
16	LB	Lysogeny broth	dcyt	Deoxycytidine
18	LB	Lysogeny broth	fe3	Fe3+
19	LB	Lysogeny broth	fol	Folate
23	LB	Lysogeny broth	gmp	GMP
24	LB	Lysogeny broth	gsn	Guanosine
27	LB	Lysogeny broth	h	H+
28	LB	Lysogeny broth	hg2	Hg2+ 
29	LB	Lysogeny broth	his__L	L-Histidine
30	LB	Lysogeny broth	hxan	Hypoxanthine
32	LB	Lysogeny broth	ins	Inosine
33	LB	Lysogeny broth	k	K+
34	LB	Lysogeny broth	leu__L	L-Leucine
35	LB	Lysogeny broth	lipoate	Lipoate
36	LB	Lysogeny broth	lys__L	L-Lysine
37	LB	Lysogeny broth	met__L	L-Methionine
38	LB	Lysogeny broth	mg2	Mg
39	LB	Lysogeny broth	mn2	Mn2+
40	LB	Lysogeny broth	mobd	Molybdate
41	LB	Lysogeny broth	na1	Na+
42	LB	Lysogeny broth	nac	Isonicotinic acid
44	LB	Lysogeny broth	ni2	Ni2+
45	LB	Lysogeny broth	o2	O2
46	LB	Lysogeny broth	phe__L	L-Phenylalanine
47	LB	Lysogeny broth	pheme	Protoheme
51	LB	Lysogeny broth	pydx	Pyridoxal
52	LB	Lysogeny broth	ribflv	Riboflavin
54	LB	Lysogeny broth	so4	Sulfate
55	LB	Lysogeny broth	thm	Thiamin
56	LB	Lysogeny broth	thr__L	L-Threonine
57	LB	Lysogeny broth	thymd	Thymidine
58	LB	Lysogeny broth	trp__L	L-Tryptophan
59	LB	Lysogeny broth	tyr__L	L-Tyrosine
60	LB	Lysogeny broth	ump	UMP
61	LB	Lysogeny broth	ura	Uracil
62	LB	Lysogeny broth	uri	Uridine
64	LB	Lysogeny broth	zn2	Zn2+
